Id Circle-Membership
4009 0
3989 0
4010 1
4037 1
4013 2
4024 3
3987 3
4015 3
4006 4
4035 5
3981 6
3991 6
3994 6
3996 6
3997 6
3998 6
3999 6
4002 6
4005 6
4008 6
4011 6
4018 6
4019 6
4020 6
4023 6
4027 6
4028 6
4031 6
4032 6
4034 6
4036 6
594 6
3984 7
4026 8
3988 8
4021 8
4030 8
4000 9
4033 9
3983 9
4017 9
3986 9
3992 9
4016 10
4025 10
3990 10
4007 10
4001 11
4029 11
4012 12
4038 13
4014 14
3982 15
4004 16
3993 16
4003 16
3995 16
3985 16
