Id Circle-Membership
3488 0
3938 0
3832 0
3860 0
3605 0
3574 0
3640 0
3604 0
3518 0
3786 1
3947 1
3782 1
3623 1
3682 2
3939 2
3771 2
3624 2
3949 2
3894 2
3963 2
3456 3
3586 3
3907 3
3880 3
3753 3
3633 3
1085 3
3521 3
3651 3
3656 3
3674 3
3677 3
3948 3
3830 3
3962 3
3721 4
3592 4
3689 4
3454 4
3566 5
3551 5
3895 6
3544 7
3775 7
3617 8
3690 8
3834 8
3763 10
3844 11
3836 11
3759 11
3476 11
3893 11
3799 11
3675 11
3612 11
3837 11
3494 12
3593 13
3810 13
3506 13
3558 13
3758 13
3819 14
3718 14
3719 14
3843 14
3861 14
3766 14
3770 14
3645 14
3777 14
3554 14
3534 14
3791 14
3539 14
3803 14
3680 14
3555 14
3945 14
3564 14
3823 14
3568 14
3825 14
3705 14
3553 15
3470 15
3482 15
3615 15
3912 16
3567 16
3477 17
3979 25
3660 25
3548 25
3779 31
3772 31
