Id Circle-Membership
769 0
770 0
774 0
775 0
779 0
780 0
781 0
782 0
783 0
728 0
787 0
790 0
793 0
792 0
708 0
815 0
797 0
798 0
709 0
803 0
804 0
805 0
807 0
808 0
809 0
812 0
814 0
687 0
700 0
817 0
819 0
820 0
823 0
824 0
697 0
698 0
827 0
828 0
830 0
831 0
832 0
705 0
835 0
836 0
837 0
838 0
840 0
841 0
843 0
716 0
717 0
718 0
719 0
720 0
849 0
852 0
856 0
730 0
737 0
739 0
741 0
745 0
747 0
748 0
703 0
754 0
755 0
758 0
759 0
763 0
764 0
765 0
768 1
833 1
771 1
742 1
806 1
746 1
813 1
743 1
816 1
722 1
691 1
789 1
854 1
786 1
736 1
850 1
733 1
757 1
776 2
788 2
791 2
796 2
802 2
810 2
689 2
818 2
822 2
699 2
702 2
707 2
839 2
712 2
714 2
725 2
732 2
767 2
715 3
710 3
811 3
825 3
753 3
692 3
761 3
729 3
762 3
735 3
772 4
773 4
844 4
777 4
778 4
695 4
706 4
800 4
696 4
688 4
821 4
694 4
701 4
693 4
834 4
713 4
845 4
724 4
853 4
726 4
731 4
847 4
752 4
760 4
766 4
851 5
721 6
801 7
744 7
749 7
846 7
785 7
704 8
740 8
750 8
690 9
711 9
723 9
727 9
734 9
738 9
751 9
756 9
784 9
794 9
795 9
799 9
826 9
829 9
842 9
848 9
855 10
