Id Circle-Membership
513 0
450 0
387 0
388 0
517 0
391 0
431 0
524 0
461 0
366 0
463 0
400 0
376 0
500 0
373 0
408 0
452 0
475 0
525 0
414 0
512 1
514 1
515 1
516 1
518 1
519 1
520 1
521 1
522 1
523 1
526 1
527 1
528 1
529 1
530 1
531 1
532 1
533 1
534 1
535 1
536 1
537 1
538 1
539 1
540 1
541 1
542 1
543 1
544 1
545 1
546 1
547 1
548 1
551 1
553 1
554 1
555 1
556 1
557 1
558 1
559 1
560 1
561 1
562 1
563 1
565 1
566 1
567 1
568 1
569 1
570 1
571 1
572 1
349 1
350 1
352 1
353 1
354 1
355 1
356 1
357 1
359 1
360 1
361 1
362 1
363 1
367 1
368 1
369 1
370 1
371 1
372 1
374 1
375 1
377 1
378 1
379 1
380 1
381 1
382 1
383 1
385 1
389 1
390 1
392 1
394 1
395 1
396 1
397 1
398 1
402 1
403 1
404 1
405 1
406 1
407 1
409 1
410 1
412 1
413 1
415 1
416 1
417 1
418 1
419 1
420 1
421 1
422 1
423 1
424 1
425 1
426 1
428 1
429 1
430 1
432 1
433 1
434 1
435 1
436 1
437 1
438 1
439 1
440 1
442 1
444 1
445 1
446 1
448 1
449 1
451 1
453 1
455 1
456 1
457 1
458 1
459 1
460 1
462 1
465 1
466 1
467 1
469 1
470 1
471 1
472 1
473 1
474 1
476 1
477 1
478 1
479 1
480 1
481 1
482 1
483 1
484 1
485 1
486 1
487 1
488 1
489 1
490 1
491 1
492 1
493 1
494 1
495 1
496 1
497 1
499 1
502 1
503 1
504 1
505 1
506 1
507 1
508 1
509 1
510 1
511 1
34 4
549 4
198 4
427 4
173 4
454 6
393 6
364 6
399 6
564 6
501 6
441 6
358 6
447 6
351 6
498 10
411 10
468 10
365 11
